paperID,author1,author2
106,Raphael Bihis,Ann Franchesca B. Laguna
106,Jaimie Bringas,Charisse Hong
106,Jaimie Bringas,Ann Franchesca B. Laguna
106,Charisse Hong,Ann Franchesca B. Laguna
107,Katrina B. Gapuz,Ephraim D. Mendoza
107,Katrina B. Gapuz,Richelle Ann B. Juayong
107,Katrina B. Gapuz,Nestine Hope S. Hernandez
107,Katrina B. Gapuz,Henry N. Adorna
107,Ephraim D. Mendoza,Richelle Ann B. Juayong
107,Ephraim D. Mendoza,Nestine Hope S. Hernandez
107,Ephraim D. Mendoza,Henry N. Adorna
107,Richelle Ann B. Juayong,Nestine Hope S. Hernandez
107,Richelle Ann B. Juayong,Henry N. Adorna
107,Nestine Hope S. Hernandez,Henry N. Adorna
108,Jordan Aiko Deja,Rafael A. Cabredo
109,Nathalie Rose Lim-Cheng,Danny C. Cheng
109,Nathalie Rose Lim-Cheng,Roberto Legaspi
109,Danny C. Cheng,Roberto Legaspi
110,Nathaniel Oco,Leif Romeritch Syliongka
110,Nathaniel Oco,Rachel Edita Roxas
110,Leif Romeritch Syliongka,Rachel Edita Roxas
111,Xavier Jeaspher Eser,Patricia Angela Abu
111,Xavier Jeaspher Eser,Proceso Fernandez Jr
111,Patricia Angela Abu,Proceso Fernandez Jr
112,Ryan Rey M. Daga,Proceso Fernandez Jr
113,Hadrian Ang,Miguel Palma
114,Leona Jean A. Lao,Vermille Ann T. Saw
115,Matthew Phillip Go,Allan Borra
116,Ann Renzel Lagunda,Genesis Ian Palaganas
116,Ann Renzel Lagunda,Francis George C. Cabarle
116,Ann Renzel Lagunda,Henry N. Adorna
116,Genesis Ian Palaganas,Francis George C. Cabarle
116,Genesis Ian Palaganas,Henry N. Adorna
116,Francis George C. Cabarle,Henry N. Adorna
117,Maureen Lyndel C. Lauron,Jaderick P. Pabico
119,Job Eliezek Bangayan,John Richard Bunyi
119,Job Eliezek Bangayan,Jeau Gigataras
119,Job Eliezek Bangayan,John Paul C. Vergara
119,John Richard Bunyi,Jeau Gigataras
119,John Richard Bunyi,John Paul C. Vergara
119,Jeau Gigataras,John Paul C. Vergara
120,Jasper S. Agustin,Proceso Fernandez Jr
121,Ma. Angelica Capuz,Selwyn Emerson Reyes
121,Ma. Angelica Capuz,Lorraine Policarpio
121,Ma. Angelica Capuz,Roger Luis Uy
121,Ma. Angelica Capuz,Brylle Joseph Quinto
121,Selwyn Emerson Reyes,Lorraine Policarpio
121,Selwyn Emerson Reyes,Roger Luis Uy
121,Selwyn Emerson Reyes,Brylle Joseph Quinto
121,Lorraine Policarpio,Roger Luis Uy
121,Lorraine Policarpio,Brylle Joseph Quinto
121,Roger Luis Uy,Brylle Joseph Quinto
122,Reinald Kim Amplayo,Jason Occidental
123,Rex P. Bringula,Roselle S. Basa
123,Rex P. Bringula,Cecilio Dela Cruz
123,Roselle S. Basa,Cecilio Dela Cruz
124,Emmanuel Jon A. Magdaluyo,Miguel Paolo A. Maglaque
124,Emmanuel Jon A. Magdaluyo,Geronimo Miguel M. Mantes
124,Emmanuel Jon A. Magdaluyo,Andrei D. Coronel
124,Miguel Paolo A. Maglaque,Geronimo Miguel M. Mantes
124,Miguel Paolo A. Maglaque,Andrei D. Coronel
124,Geronimo Miguel M. Mantes,Andrei D. Coronel
125,Earl Jay F. Ledesma,Marie Yvette B. de Robles
126,Emilio Angelo D. Alindogan,Jerry Y. Hom
126,Emilio Angelo D. Alindogan,Febrev F. Dela Cruz
126,Emilio Angelo D. Alindogan,Melissa P. Juanillo
126,Emilio Angelo D. Alindogan,Ma. Christina R. Aragon
126,Emilio Angelo D. Alindogan,Mark Lorenz F. Eustaquio
126,Jerry Y. Hom,Febrev F. Dela Cruz
126,Jerry Y. Hom,Melissa P. Juanillo
126,Jerry Y. Hom,Ma. Christina R. Aragon
126,Jerry Y. Hom,Mark Lorenz F. Eustaquio
126,Febrev F. Dela Cruz,Melissa P. Juanillo
126,Febrev F. Dela Cruz,Ma. Christina R. Aragon
126,Febrev F. Dela Cruz,Mark Lorenz F. Eustaquio
126,Melissa P. Juanillo,Ma. Christina R. Aragon
126,Melissa P. Juanillo,Mark Lorenz F. Eustaquio
126,Ma. Christina R. Aragon,Mark Lorenz F. Eustaquio
127,Nathaniel Oco,Allain Paolo Hiya
127,Nathaniel Oco,Sony Renz Manalo
127,Nathaniel Oco,Manolito Octaviano Jr.
127,Nathaniel Oco,Ryan Christopher Pinca
127,Allain Paolo Hiya,Sony Renz Manalo
127,Allain Paolo Hiya,Manolito Octaviano Jr.
127,Allain Paolo Hiya,Ryan Christopher Pinca
127,Sony Renz Manalo,Manolito Octaviano Jr.
127,Sony Renz Manalo,Ryan Christopher Pinca
127,Manolito Octaviano Jr.,Ryan Christopher Pinca
128,Reinald Kim Amplayo,Jason Occidental
129,Krystel Arriane A. Cortez,Katrina Joy H. Magno
130,Aaron Spencer K. Ngo,John Darill B. Desingco
130,Aaron Spencer K. Ngo,Macario O. Cordel II
130,Aaron Spencer K. Ngo,Roger Luis Uy
130,Aaron Spencer K. Ngo,Prane Mariel B. Ong
130,Aaron Spencer K. Ngo,Eric Camilo R. Punzalan
130,Aaron Spencer K. Ngo,Joel P. Ilao
130,John Darill B. Desingco,Macario O. Cordel II
130,John Darill B. Desingco,Roger Luis Uy
130,John Darill B. Desingco,Prane Mariel B. Ong
130,John Darill B. Desingco,Eric Camilo R. Punzalan
130,John Darill B. Desingco,Joel P. Ilao
130,Macario O. Cordel II,Roger Luis Uy
130,Macario O. Cordel II,Prane Mariel B. Ong
130,Macario O. Cordel II,Eric Camilo R. Punzalan
130,Macario O. Cordel II,Joel P. Ilao
130,Roger Luis Uy,Prane Mariel B. Ong
130,Roger Luis Uy,Eric Camilo R. Punzalan
130,Roger Luis Uy,Joel P. Ilao
130,Prane Mariel B. Ong,Eric Camilo R. Punzalan
130,Prane Mariel B. Ong,Joel P. Ilao
130,Eric Camilo R. Punzalan,Joel P. Ilao
132,Rachel Anne G. Concepcion,Marrick C. Neri
133,Tita R. Herradura,Merlin Teodosia C. Suarez
134,Raymund E. Dilan,Proceso Fernandez Jr
135,Wilben Christie R. Pagtaconan,Cecilia A. Mercado
136,Josephine S. Dela Cruz,Ma. Mercedes T. Rodrigo
138,Jessie Brian Unabia Revil,Mark Allen Secreto Saclot
139,Alexis Pantola,Deanne Erika Buena
139,Alexis Pantola,Clarissa Mae Garcia
139,Alexis Pantola,Celine Villafuerte
139,Alexis Pantola,Allison Mae Yu
139,Deanne Erika Buena,Clarissa Mae Garcia
139,Deanne Erika Buena,Celine Villafuerte
139,Deanne Erika Buena,Allison Mae Yu
139,Clarissa Mae Garcia,Celine Villafuerte
139,Clarissa Mae Garcia,Allison Mae Yu
139,Celine Villafuerte,Allison Mae Yu
141,Maria Katrina Donato,Nethania Katrina Surtida
141,Maria Katrina Donato,Charles Jansen Ignacio
141,Maria Katrina Donato,Andrei D. Coronel
141,Nethania Katrina Surtida,Charles Jansen Ignacio
141,Nethania Katrina Surtida,Andrei D. Coronel
141,Charles Jansen Ignacio,Andrei D. Coronel
142,Ramon Rodriguez,Faramarz Ataollahi
142,Ramon Rodriguez,Rafael A. Cabredo
142,Faramarz Ataollahi,Rafael A. Cabredo
143,Kenneth Royce Brigola,Christine Joy Infante
143,Kenneth Royce Brigola,Paolo Josef
143,Kenneth Royce Brigola,Annalyn Reganit
143,Kenneth Royce Brigola,Juan Lorenzo Hagad
143,Kenneth Royce Brigola,Merlin Teodosia C. Suarez
143,Christine Joy Infante,Paolo Josef
143,Christine Joy Infante,Annalyn Reganit
143,Christine Joy Infante,Juan Lorenzo Hagad
143,Christine Joy Infante,Merlin Teodosia C. Suarez
143,Paolo Josef,Annalyn Reganit
143,Paolo Josef,Juan Lorenzo Hagad
143,Paolo Josef,Merlin Teodosia C. Suarez
143,Annalyn Reganit,Juan Lorenzo Hagad
143,Annalyn Reganit,Merlin Teodosia C. Suarez
143,Juan Lorenzo Hagad,Merlin Teodosia C. Suarez
144,Roger Luis Uy,Joel P. Ilao
144,Roger Luis Uy,Rafael A. Cabredo
144,Joel P. Ilao,Rafael A. Cabredo
145,Courtney Ngo,Solomon See
145,Courtney Ngo,Roberto Legaspi
145,Solomon See,Roberto Legaspi
146,Ramon Rodriguez,Joel P. Ilao
147,Rex Bringula,Aaron Noel De Leon
147,Rex Bringula,Daryll Santos
147,Rex Bringula,Jose Mari Ramos
147,Rex Bringula,Sean Michael Amador
147,Rex Bringula,Roselle S. Basa
147,Aaron Noel De Leon,Daryll Santos
147,Aaron Noel De Leon,Jose Mari Ramos
147,Aaron Noel De Leon,Sean Michael Amador
147,Aaron Noel De Leon,Roselle S. Basa
147,Daryll Santos,Jose Mari Ramos
147,Daryll Santos,Sean Michael Amador
147,Daryll Santos,Roselle S. Basa
147,Jose Mari Ramos,Sean Michael Amador
147,Jose Mari Ramos,Roselle S. Basa
147,Sean Michael Amador,Roselle S. Basa
148,Natalie Agustin,Solomon See
149,Ma. Anne Therese Musong,Zyra Bravo
150,Gregory Cu,Jocelynn Cu
150,Gregory Cu,Fili Emerson Chua
150,Gregory Cu,Nikkol John Morales
150,Gregory Cu,John Lawrence Peñafiel
150,Gregory Cu,Jeno Paolo Rigor
150,Jocelynn Cu,Fili Emerson Chua
150,Jocelynn Cu,Nikkol John Morales
150,Jocelynn Cu,John Lawrence Peñafiel
150,Jocelynn Cu,Jeno Paolo Rigor
150,Fili Emerson Chua,Nikkol John Morales
150,Fili Emerson Chua,John Lawrence Peñafiel
150,Fili Emerson Chua,Jeno Paolo Rigor
150,Nikkol John Morales,John Lawrence Peñafiel
150,Nikkol John Morales,Jeno Paolo Rigor
150,John Lawrence Peñafiel,Jeno Paolo Rigor
151,Thomas James Z. Tiam-Lee,Solomon See
152,Jayzon Ty,Ma. Mercedes T. Rodrigo
152,Jayzon Ty,Marc Ericson Santos
152,Ma. Mercedes T. Rodrigo,Marc Ericson Santos
153,Jonathan Audric Matias,Regine Danica Regino
153,Jonathan Audric Matias,Christine Faith Tango
153,Jonathan Audric Matias,Andrei D. Coronel
153,Regine Danica Regino,Christine Faith Tango
153,Regine Danica Regino,Andrei D. Coronel
153,Christine Faith Tango,Andrei D. Coronel
154,Paolo Tensuan,Arnulfo P. Azcarraga
155,Nathaniel Oco,Leif Romeritch Syliongka
155,Nathaniel Oco,Rachel Edita Roxas
155,Nathaniel Oco,Joel P. Ilao
155,Leif Romeritch Syliongka,Rachel Edita Roxas
155,Leif Romeritch Syliongka,Joel P. Ilao
155,Rachel Edita Roxas,Joel P. Ilao
156,Mauro Edmund Arce,Marvin Limson
156,Mauro Edmund Arce,Michelle Ormoc
156,Mauro Edmund Arce,Lawrence Yap
156,Mauro Edmund Arce,Merlin Teodosia C. Suarez
156,Marvin Limson,Michelle Ormoc
156,Marvin Limson,Lawrence Yap
156,Marvin Limson,Merlin Teodosia C. Suarez
156,Michelle Ormoc,Lawrence Yap
156,Michelle Ormoc,Merlin Teodosia C. Suarez
156,Lawrence Yap,Merlin Teodosia C. Suarez
157,Tita R. Herradura,Merlin Teodosia C. Suarez
157,Tita R. Herradura,Joel P. Ilao
157,Merlin Teodosia C. Suarez,Joel P. Ilao
158,Conrad Olega,Aaron Manaloto
158,Conrad Olega,Karlo Soriano
158,Conrad Olega,Cedric Festin
158,Aaron Manaloto,Karlo Soriano
158,Aaron Manaloto,Cedric Festin
158,Karlo Soriano,Cedric Festin
159,Cedric Festin,Fatima Suzanne G. De Villa
159,Cedric Festin,Anna Janeri B. Ongcol
159,Cedric Festin,Bryan Adam B. Tan
159,Fatima Suzanne G. De Villa,Anna Janeri B. Ongcol
159,Fatima Suzanne G. De Villa,Bryan Adam B. Tan
159,Anna Janeri B. Ongcol,Bryan Adam B. Tan
160,Maritoni Escalona,Ricco Laxamana
160,Maritoni Escalona,Kevin Pagtakhan
160,Maritoni Escalona,Edward P. Tighe
160,Maritoni Escalona,Merlin Teodosia C. Suarez
160,Maritoni Escalona,Rhia Trogo
160,Ricco Laxamana,Kevin Pagtakhan
160,Ricco Laxamana,Edward P. Tighe
160,Ricco Laxamana,Merlin Teodosia C. Suarez
160,Ricco Laxamana,Rhia Trogo
160,Kevin Pagtakhan,Edward P. Tighe
160,Kevin Pagtakhan,Merlin Teodosia C. Suarez
160,Kevin Pagtakhan,Rhia Trogo
160,Edward P. Tighe,Merlin Teodosia C. Suarez
160,Edward P. Tighe,Rhia Trogo
160,Merlin Teodosia C. Suarez,Rhia Trogo
161,John Roy Geralde,Kardi Teknomo
162,Joshua Castañeda,Elijah Joshua Cayabyab
162,Joshua Castañeda,Jonathan Danao
162,Joshua Castañeda,Cedric Festin
162,Elijah Joshua Cayabyab,Jonathan Danao
162,Elijah Joshua Cayabyab,Cedric Festin
162,Jonathan Danao,Cedric Festin
163,Adrian John Biton,Marie Yvette de Robles
164,Joseph Benjamin Ferrer,Anthony Brian Dy
164,Joseph Benjamin Ferrer,Christian Edensor Arbon
164,Joseph Benjamin Ferrer,Cedric Festin
164,Anthony Brian Dy,Christian Edensor Arbon
164,Anthony Brian Dy,Cedric Festin
164,Christian Edensor Arbon,Cedric Festin
165,Kier Sostenes Guevara,Redan Benedict Alcaide
165,Kier Sostenes Guevara,Allan A. Sioson
165,Redan Benedict Alcaide,Allan A. Sioson
166,Francis Bien Jan Viernes,Chynna Julia Cordevilla
166,Francis Bien Jan Viernes,Rafael Gerard Formes
166,Francis Bien Jan Viernes,Cedric Festin
166,Chynna Julia Cordevilla,Rafael Gerard Formes
166,Chynna Julia Cordevilla,Cedric Festin
166,Rafael Gerard Formes,Cedric Festin
167,Val Randolf Madrid,Renior Abrea
168,Jazmine Paola B. Barroga,Roland Joseph M. Gudani
168,Jazmine Paola B. Barroga,Miguel Paolo M. Quijano
168,Roland Joseph M. Gudani,Miguel Paolo M. Quijano
169,Francis Jomer Gallardo,Armina Francisco
170,Geoffrey A. Solano,Bianca Camille Silmaro
170,Geoffrey A. Solano,Sun Arthur Ojeda
170,Geoffrey A. Solano,Jaime D.L. Caro
170,Bianca Camille Silmaro,Sun Arthur Ojeda
170,Bianca Camille Silmaro,Jaime D.L. Caro
170,Sun Arthur Ojeda,Jaime D.L. Caro
171,Nicole Marie T. Del Rosario,Marrick C. Neri
172,Nerio Pascual,Ariel Sison
172,Nerio Pascual,Bobby Gerardo
172,Nerio Pascual,Ruji Medina
172,Ariel Sison,Bobby Gerardo
172,Ariel Sison,Ruji Medina
172,Bobby Gerardo,Ruji Medina
173,Christian Paulo De Leon,Allan Adrian Gatchalian
173,Christian Paulo De Leon,Juan Miguel Ninobla
173,Christian Paulo De Leon,Nigel Roi Concepcion
173,Christian Paulo De Leon,David Joseph Catemprate
173,Christian Paulo De Leon,Ronald Pascual
173,Allan Adrian Gatchalian,Juan Miguel Ninobla
173,Allan Adrian Gatchalian,Nigel Roi Concepcion
173,Allan Adrian Gatchalian,David Joseph Catemprate
173,Allan Adrian Gatchalian,Ronald Pascual
173,Juan Miguel Ninobla,Nigel Roi Concepcion
173,Juan Miguel Ninobla,David Joseph Catemprate
173,Juan Miguel Ninobla,Ronald Pascual
173,Nigel Roi Concepcion,David Joseph Catemprate
173,Nigel Roi Concepcion,Ronald Pascual
173,David Joseph Catemprate,Ronald Pascual
174,Carlos Alberto Arcenas,Miguel Galace
174,Carlos Alberto Arcenas,Marlene De Leon
174,Miguel Galace,Marlene De Leon
175,Jan Apolline Estrella,Christian Philip Gelera
175,Jan Apolline Estrella,Christian Quinzon
175,Jan Apolline Estrella,Ethel Ong
175,Jan Apolline Estrella,Mc Jervis Villaruel
175,Jan Apolline Estrella,Edlen Mari Sanchez
175,Christian Philip Gelera,Christian Quinzon
175,Christian Philip Gelera,Ethel Ong
175,Christian Philip Gelera,Mc Jervis Villaruel
175,Christian Philip Gelera,Edlen Mari Sanchez
175,Christian Quinzon,Ethel Ong
175,Christian Quinzon,Mc Jervis Villaruel
175,Christian Quinzon,Edlen Mari Sanchez
175,Ethel Ong,Mc Jervis Villaruel
175,Ethel Ong,Edlen Mari Sanchez
175,Mc Jervis Villaruel,Edlen Mari Sanchez
176,Robee Khyra Mae J. Te,Janica Mae M. Lam
176,Robee Khyra Mae J. Te,Camille Alexis T.R. Saavedra
176,Robee Khyra Mae J. Te,Alden Luc R. Hade
176,Robee Khyra Mae J. Te,Ethel Ong
176,Janica Mae M. Lam,Camille Alexis T.R. Saavedra
176,Janica Mae M. Lam,Alden Luc R. Hade
176,Janica Mae M. Lam,Ethel Ong
176,Camille Alexis T.R. Saavedra,Alden Luc R. Hade
176,Camille Alexis T.R. Saavedra,Ethel Ong
176,Alden Luc R. Hade,Ethel Ong
177,Nivea Jane Urdas,Jhon Rick Salvedia
177,Nivea Jane Urdas,Drew Dolot
177,Nivea Jane Urdas,John Meynard Sanchez
177,Nivea Jane Urdas,Jay Chester Usero
177,Nivea Jane Urdas,Ava Marie Villareal
177,Nivea Jane Urdas,Dewi Retnoningsih
177,Jhon Rick Salvedia,Drew Dolot
177,Jhon Rick Salvedia,John Meynard Sanchez
177,Jhon Rick Salvedia,Jay Chester Usero
177,Jhon Rick Salvedia,Ava Marie Villareal
177,Jhon Rick Salvedia,Dewi Retnoningsih
177,Drew Dolot,John Meynard Sanchez
177,Drew Dolot,Jay Chester Usero
177,Drew Dolot,Ava Marie Villareal
177,Drew Dolot,Dewi Retnoningsih
177,John Meynard Sanchez,Jay Chester Usero
177,John Meynard Sanchez,Ava Marie Villareal
177,John Meynard Sanchez,Dewi Retnoningsih
177,Jay Chester Usero,Ava Marie Villareal
177,Jay Chester Usero,Dewi Retnoningsih
177,Ava Marie Villareal,Dewi Retnoningsih
178,Adrian R. Llamado,Jonathan B. Mamplata
181,Kristine Mae M. Adlaon,Charibeth Cheng
181,Kristine Mae M. Adlaon,Maristella Aquino
181,Kristine Mae M. Adlaon,Ervin Fernandez
181,Kristine Mae M. Adlaon,Kevin Villanueva
181,Charibeth Cheng,Maristella Aquino
181,Charibeth Cheng,Ervin Fernandez
181,Charibeth Cheng,Kevin Villanueva
181,Maristella Aquino,Ervin Fernandez
181,Maristella Aquino,Kevin Villanueva
181,Ervin Fernandez,Kevin Villanueva
182,Emmanuel M. Malaay,Michael B. Simora
182,Emmanuel M. Malaay,Ronald John O. Cabatic
182,Emmanuel M. Malaay,Ronald M. Pascual
182,Emmanuel M. Malaay,Anthony B. Castillo
182,Emmanuel M. Malaay,Ayman P. Cabotaje
182,Michael B. Simora,Ronald John O. Cabatic
182,Michael B. Simora,Ronald M. Pascual
182,Michael B. Simora,Anthony B. Castillo
182,Michael B. Simora,Ayman P. Cabotaje
182,Ronald John O. Cabatic,Ronald M. Pascual
182,Ronald John O. Cabatic,Anthony B. Castillo
182,Ronald John O. Cabatic,Ayman P. Cabotaje
182,Ronald M. Pascual,Anthony B. Castillo
182,Ronald M. Pascual,Ayman P. Cabotaje
182,Anthony B. Castillo,Ayman P. Cabotaje
183,Rozano S. Maniaol,Danilo J. Mercado
184,Nilo T. Dela Cruz II,Gimelle B. Gamilla
184,Nilo T. Dela Cruz II,Allen L. Nazareno
184,Gimelle B. Gamilla,Allen L. Nazareno
186,Angelica H. Dela Cruz,Maria Cristina P. Co
186,Angelica H. Dela Cruz,Adrian Martin S. Sy
186,Angelica H. Dela Cruz,Nathaniel Oco
186,Maria Cristina P. Co,Adrian Martin S. Sy
186,Maria Cristina P. Co,Nathaniel Oco
186,Adrian Martin S. Sy,Nathaniel Oco
187,Matthew Phillip Go,Allan Borra
188,Michael Angeles,Nathaniel Laxina
188,Michael Angeles,Maria Art Antonette Clariño
188,Michael Angeles,Rizza Mercado
188,Nathaniel Laxina,Maria Art Antonette Clariño
188,Nathaniel Laxina,Rizza Mercado
188,Maria Art Antonette Clariño,Rizza Mercado
189,Manolito Octaviano Jr.,Nathaniel Oco
189,Manolito Octaviano Jr.,Allan Borra
189,Nathaniel Oco,Allan Borra
190,Diane Manzano,Samantha Jade Sadural
191,Jeffrey A. Aborot,Henry N. Adorna
191,Jeffrey A. Aborot,Jhoirene B. Clemente
191,Henry N. Adorna,Jhoirene B. Clemente
192,Jane D. Palacio,Pierre Allan K. Santiago
192,Jane D. Palacio,John Paul V. Guim
192,Pierre Allan K. Santiago,John Paul V. Guim
193,Gabriel Dominik E. Sison,Ulyses A. Solon Jr
193,Gabriel Dominik E. Sison,Aimee B. Rarugal
193,Gabriel Dominik E. Sison,Guido David
193,Gabriel Dominik E. Sison,Giovanni A. Tapang
193,Ulyses A. Solon Jr,Aimee B. Rarugal
193,Ulyses A. Solon Jr,Guido David
193,Ulyses A. Solon Jr,Giovanni A. Tapang
193,Aimee B. Rarugal,Guido David
193,Aimee B. Rarugal,Giovanni A. Tapang
193,Guido David,Giovanni A. Tapang
195,Jaime D.L. Caro,Rommel P. Feria
195,Jaime D.L. Caro,Ariel S. Betan
195,Jaime D.L. Caro,Annette G. Lagman
195,Jaime D.L. Caro,Rowena C. Solamo
195,Jaime D.L. Caro,Paulo Noel G. Paje
195,Rommel P. Feria,Ariel S. Betan
195,Rommel P. Feria,Annette G. Lagman
195,Rommel P. Feria,Rowena C. Solamo
195,Rommel P. Feria,Paulo Noel G. Paje
195,Ariel S. Betan,Annette G. Lagman
195,Ariel S. Betan,Rowena C. Solamo
195,Ariel S. Betan,Paulo Noel G. Paje
195,Annette G. Lagman,Rowena C. Solamo
195,Annette G. Lagman,Paulo Noel G. Paje
195,Rowena C. Solamo,Paulo Noel G. Paje
196,Jeffrey A. Aborot,Henry N. Adorna
198,Richelle Ann B. Juayong,Henry N. Adorna
198,Richelle Ann B. Juayong,Kelvin C. Buño
198,Richelle Ann B. Juayong,Francis George C. Cabarle
198,Henry N. Adorna,Kelvin C. Buño
198,Henry N. Adorna,Francis George C. Cabarle
198,Kelvin C. Buño,Francis George C. Cabarle
200,Marjo-Anne B. Acob,Jean O. Loyola
202,Sherlyne L. Francia,Denise Alyssa A. Francisco
202,Sherlyne L. Francia,Richelle Ann B. Juayong
202,Sherlyne L. Francia,Henry N. Adorna
202,Denise Alyssa A. Francisco,Richelle Ann B. Juayong
202,Denise Alyssa A. Francisco,Henry N. Adorna
202,Richelle Ann B. Juayong,Henry N. Adorna
203,Gabriel Alberto A. Sanchez,Proceso Fernandez Jr
203,Gabriel Alberto A. Sanchez,John Paul C. Vergara
203,Proceso Fernandez Jr,John Paul C. Vergara
204,Rodolfo Raga Jr,Jennifer D. Raga
205,Ethel Ong,Jasmine Irene Ng
206,Harriet Angelie A. Gonzales,Kurt Junshean P. Espinosa
207,Oliver Isaac L. Chan,Patrick Joseph M. Sadornas
207,Oliver Isaac L. Chan,Rafael A. Cabredo
207,Oliver Isaac L. Chan,Charibeth Cheng
207,Patrick Joseph M. Sadornas,Rafael A. Cabredo
207,Patrick Joseph M. Sadornas,Charibeth Cheng
207,Rafael A. Cabredo,Charibeth Cheng
208,Lemuel John Beduya,Kurt Junshean P. Espinosa
209,Rancelli Jane Roxas,Dollen Lour Huang
209,Rancelli Jane Roxas,Bruce Elmer Peralta
209,Rancelli Jane Roxas,Sahnir Yap
209,Rancelli Jane Roxas,Ethel Ong
209,Dollen Lour Huang,Bruce Elmer Peralta
209,Dollen Lour Huang,Sahnir Yap
209,Dollen Lour Huang,Ethel Ong
209,Bruce Elmer Peralta,Sahnir Yap
209,Bruce Elmer Peralta,Ethel Ong
209,Sahnir Yap,Ethel Ong
210,Anne Grace H. Peralta,Layton Jan M. Tee
211,Tod Allman,Stephen Beale
211,Tod Allman,Richard Denton
211,Stephen Beale,Richard Denton
